EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.5	1	0.01
0.1	0.5	1	0.01	0.1
0.1	1	0.01	1	0.5
0.01	0.01	0.1	0.5	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.1
0.01	0.01	0.1	0.1	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.01
0.01	0.01	0.1	0.01	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	1	0.01
0.1	0.1	1	0.01	0.1
0.1	1	0.01	1	0.01
0.01	0.01	0.1	0.01	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.01
0.01	0.01	0.1	0.01	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	1	0.01
0.1	0.1	1	0.01	0.1
0.1	1	0.01	1	0.01
0.01	0.01	0.1	0.01	1

EU	AS	AU	NAM	SA
1	1	0.1	0.1	0.01
1	1	0.1	0.1	0.01
0.1	0.1	1	0.01	0.1
0.1	0.1	0.01	1	0.01
0.01	0.01	0.1	0.01	1

END
